,Date,Number of NaNs
0,2001-01-01,8
1,2001-01-02,121
2,2001-01-03,41
3,2001-01-04,140
4,2001-01-05,117
5,2001-01-06,139
6,2001-01-07,125
7,2001-01-08,140
8,2001-01-09,9
9,2001-01-10,134
10,2001-01-11,140
11,2001-01-12,116
12,2001-01-13,44
13,2001-01-14,0
14,2001-01-15,0
15,2001-01-16,0
16,2001-01-17,65
17,2001-01-18,125
18,2001-01-19,0
19,2001-01-20,134
20,2001-01-21,23
21,2001-01-22,45
22,2001-01-23,75
23,2001-01-24,140
24,2001-01-25,125
25,2001-01-26,111
26,2001-01-27,134
27,2001-01-28,75
28,2001-01-29,122
29,2001-01-30,114
30,2001-01-31,31
31,2001-02-01,34
32,2001-02-02,12
33,2001-02-03,113
34,2001-02-04,61
35,2001-02-05,114
36,2001-02-06,95
37,2001-02-07,132
38,2001-02-08,138
39,2001-02-09,140
40,2001-02-10,50
41,2001-02-11,0
42,2001-02-12,77
43,2001-02-13,112
44,2001-02-14,2
45,2001-02-15,0
46,2001-02-16,0
47,2001-02-17,113
48,2001-02-18,7
49,2001-02-19,42
50,2001-02-20,59
51,2001-02-21,88
52,2001-02-22,113
53,2001-02-23,117
54,2001-02-24,84
55,2001-02-25,37
56,2001-02-26,24
57,2001-02-27,15
58,2001-02-28,135
59,2001-03-01,57
60,2001-03-02,139
61,2001-03-03,136
62,2001-03-04,140
63,2001-03-05,39
64,2001-03-06,46
65,2001-03-07,135
66,2001-03-08,140
67,2001-03-09,138
68,2001-03-10,139
69,2001-03-11,112
70,2001-03-12,85
71,2001-03-13,100
72,2001-03-14,71
73,2001-03-15,57
74,2001-03-16,51
75,2001-03-17,140
76,2001-03-18,80
77,2001-03-19,48
78,2001-03-20,111
79,2001-03-21,140
80,2001-03-22,68
81,2001-03-23,61
82,2001-03-24,133
83,2001-03-25,138
84,2001-03-26,74
85,2001-03-27,123
86,2001-03-28,135
87,2001-03-29,139
88,2001-03-30,139
89,2001-03-31,44
90,2001-04-01,0
91,2001-04-02,2
92,2001-04-03,46
93,2001-04-04,133
94,2001-04-05,86
95,2001-04-06,36
96,2001-04-07,139
97,2001-04-08,140
98,2001-04-09,82
99,2001-04-10,127
100,2001-04-11,140
101,2001-04-12,101
102,2001-04-13,42
103,2001-04-14,78
104,2001-04-15,101
105,2001-04-16,124
106,2001-04-17,91
107,2001-04-18,111
108,2001-04-19,139
109,2001-04-20,140
110,2001-04-21,140
111,2001-04-22,122
112,2001-04-23,26
113,2001-04-24,26
114,2001-04-25,132
115,2001-04-26,103
116,2001-04-27,86
117,2001-04-28,121
118,2001-04-29,96
119,2001-04-30,132
120,2001-05-01,99
121,2001-05-02,65
122,2001-05-03,136
123,2001-05-04,57
124,2001-05-05,140
125,2001-05-06,137
126,2001-05-07,106
127,2001-05-08,72
128,2001-05-09,83
129,2001-05-10,64
130,2001-05-11,7
131,2001-05-12,40
132,2001-05-13,0
133,2001-05-14,137
134,2001-05-15,140
135,2001-05-16,140
136,2001-05-17,134
137,2001-05-18,131
138,2001-05-19,0
139,2001-05-20,72
140,2001-05-21,140
141,2001-05-22,140
142,2001-05-23,128
143,2001-05-24,140
144,2001-05-25,130
145,2001-05-26,6
146,2001-05-27,20
147,2001-05-28,3
148,2001-05-29,0
149,2001-05-30,36
150,2001-05-31,101
151,2001-06-01,74
152,2001-06-02,131
153,2001-06-03,140
154,2001-06-04,18
155,2001-06-05,0
156,2001-06-06,140
157,2001-06-07,4
158,2001-06-08,134
159,2001-06-09,140
160,2001-06-10,140
161,2001-06-11,131
162,2001-06-12,0
163,2001-06-13,27
164,2001-06-14,56
165,2001-07-03,0
166,2001-07-04,35
167,2001-07-05,6
168,2001-07-06,16
169,2001-07-07,56
170,2001-07-08,118
171,2001-07-09,85
172,2001-07-10,113
173,2001-07-11,31
174,2001-07-12,75
175,2001-07-13,78
176,2001-07-14,68
177,2001-07-15,116
178,2001-07-16,114
179,2001-07-17,127
180,2001-07-18,140
181,2001-07-19,137
182,2001-07-20,140
183,2001-07-21,13
184,2001-07-22,0
185,2001-07-23,0
186,2001-07-24,101
187,2001-07-25,48
188,2001-07-26,31
189,2001-07-27,2
190,2001-07-28,26
191,2001-07-29,35
192,2001-07-30,9
193,2001-07-31,0
194,2001-08-01,0
195,2001-08-02,12
196,2001-08-03,74
197,2001-08-04,132
198,2001-08-05,96
199,2001-08-06,131
200,2001-08-07,20
201,2001-08-08,135
202,2001-08-09,119
203,2001-08-10,118
204,2001-08-11,51
205,2001-08-12,0
206,2001-08-13,26
207,2001-08-14,0
208,2001-08-15,0
209,2001-08-16,0
210,2001-08-17,64
211,2001-08-18,95
212,2001-08-19,38
213,2001-08-20,140
214,2001-08-21,57
215,2001-08-22,56
216,2001-08-23,0
217,2001-08-24,0
218,2001-08-25,0
219,2001-08-26,0
220,2001-08-27,1
221,2001-08-28,0
222,2001-08-29,0
223,2001-08-30,140
224,2001-08-31,137
225,2001-09-01,138
226,2001-09-02,109
227,2001-09-03,13
228,2001-09-04,138
229,2001-09-05,92
230,2001-09-06,23
231,2001-09-07,124
232,2001-09-08,107
233,2001-09-09,15
234,2001-09-10,85
235,2001-09-11,84
236,2001-09-12,116
237,2001-09-13,93
238,2001-09-14,140
239,2001-09-15,62
240,2001-09-16,125
241,2001-09-17,119
242,2001-09-18,50
243,2001-09-19,134
244,2001-09-20,29
245,2001-09-21,94
246,2001-09-22,140
247,2001-09-23,140
248,2001-09-24,137
249,2001-09-25,138
250,2001-09-26,92
251,2001-09-27,118
252,2001-09-28,0
253,2001-09-29,138
254,2001-09-30,137
255,2001-10-01,60
256,2001-10-02,40
257,2001-10-03,4
258,2001-10-04,136
259,2001-10-05,123
260,2001-10-06,2
261,2001-10-07,124
262,2001-10-08,57
263,2001-10-09,81
264,2001-10-10,45
265,2001-10-11,2
266,2001-10-12,0
267,2001-10-13,0
268,2001-10-14,0
269,2001-10-15,42
270,2001-10-16,59
271,2001-10-17,0
272,2001-10-18,0
273,2001-10-19,23
274,2001-10-20,96
275,2001-10-21,127
276,2001-10-22,0
277,2001-10-23,122
278,2001-10-24,108
279,2001-10-25,98
280,2001-10-26,11
281,2001-10-27,0
282,2001-10-28,13
283,2001-10-29,15
284,2001-10-30,116
285,2001-10-31,0
286,2001-11-01,3
287,2001-11-02,33
288,2001-11-03,0
289,2001-11-04,0
290,2001-11-05,22
291,2001-11-06,76
292,2001-11-07,63
293,2001-11-08,111
294,2001-11-09,140
295,2001-11-10,7
296,2001-11-11,102
297,2001-11-12,98
298,2001-11-13,85
299,2001-11-14,44
300,2001-11-15,0
301,2001-11-16,0
302,2001-11-17,0
303,2001-11-18,25
304,2001-11-19,48
305,2001-11-20,2
306,2001-11-21,1
307,2001-11-22,56
308,2001-11-23,118
309,2001-11-24,39
310,2001-11-25,77
311,2001-11-26,48
312,2001-11-27,140
313,2001-11-28,35
314,2001-11-29,32
315,2001-11-30,37
316,2001-12-01,116
317,2001-12-02,72
318,2001-12-03,7
319,2001-12-04,115
320,2001-12-05,41
321,2001-12-06,133
322,2001-12-07,51
323,2001-12-08,7
324,2001-12-09,0
325,2001-12-10,0
326,2001-12-11,57
327,2001-12-12,19
328,2001-12-13,89
329,2001-12-14,0
330,2001-12-15,2
331,2001-12-16,1
332,2001-12-17,62
333,2001-12-18,0
334,2001-12-19,0
